CovidLock
Emotet
WannaCry
Petya
CryptoLocker
Stuxnet
Zeus
ILOVEYOU
Melissa
MyDoom
Storm Worm
SQL Slammer
shamoon
regin
xafecopy
gameoverzeus
cryptomix
avaddon
plugx
revil
